"Key","en","fr","es","zh","hi","ar","pt","ru","ja","de","ko","tr","it","vi","pl","nl","th","cs","bn","id","ur","te","mr","ta","gu","uk","fil","ms","ro","hu","el","sv","da","no","fi","he","fa","ml"
"edit-wallet","Edit Account","Modifier le compte","Editar cuenta","编辑帐户","खाता संपादित करें","تحرير الحساب","Editar conta","Редактировать аккаунт","アカウントの編集","Konto bearbeiten","계정 편집","Hesabı düzenlemek","Modifica account","Chỉnh sửa tài khoản","Edytuj konto","Bewerk account","แก้ไขบัญชี","Upravit účet","অ্যাকাউন্ট সম্পাদনা করুন","Mengedit akun","اکاؤنٹ میں ترمیم کریں","ఖాతాను సవరించండి","खाते संपादित करा","கணக்கைத் திருத்து","સંપાદન હિસાબ","Редагувати рахунок","I-edit ang iyong account","Edit akaun","Editați contul","Fiók szerkesztése","Επεξεργασία λογαριασμού","Redigera konto","Rediger konto","Rediger bruker","Muokkaa tiliä","עריכת חשבון","حساب ویرایش","അക്കൗണ്ട് എഡിറ്റുചെയ്യുക"
"wallets","Accounts","Comptes","Cuentas","帐户","हिसाब किताब","حسابات","Contas","Счета","アカウント","Konten","계정","Hesaplar","Account","Tài khoản","Konta","Rekeningen","บัญชี","Účty","অ্যাকাউন্ট","Akun","اکاؤنٹس","ఖాతాలు","लेखा","கணக்குகள்","હિસાબ","Рахунки","Mga Account","Akaun","Conturi","Fiókok","Λογαριασμοί","Konton","Regnskaber","Kontoer","Tilit","חשבונות","حساب ها","അക്കൗണ്ടുകൾ"
"add-transaction","Add Transaction","Ajouter une transaction","Agregar transacción","添加交易","लेनदेन जोड़ें","أضف المعاملة","Adicione a transação","Добавить транзакцию","トランザクションを追加します","Transaktion hinzufügen","트랜잭션을 추가하십시오","İşlem ekle","Aggiungi transazione","Thêm giao dịch","Dodaj transakcję","Transactie toevoegen","เพิ่มธุรกรรม","Přidat transakci","লেনদেন যোগ করুন","Tambahkan transaksi","لین دین شامل کریں","లావాదేవీని జోడించండి","व्यवहार जोडा","பரிவர்த்தனை சேர்க்கவும்","વ્યવહાર ઉમેરો","Додайте транзакцію","Magdagdag ng transaksyon","Tambah transaksi","Adăugați tranzacția","Adjon hozzá tranzakciót","Προσθήκη συναλλαγής","Lägg till transaktion","Tilføj transaktion","Legg til transaksjon","Lisää tapahtuma","הוסף עסקה","معامله را اضافه کنید","ഇടപാട് ചേർക്കുക"
"add-wallet","Add Account","Ajouter un compte","Añadir cuenta","新增帐户","खाता जोड़ें","إضافة حساب","Adicionar Conta","Добавить аккаунт","アカウントを追加する","Konto hinzufügen","계정을 추가","Hesap eklemek","Aggiungi account","Thêm tài khoản","Dodaj konto","Account toevoegen","เพิ่มบัญชี","Přidat účet","হিসাব যোগ করা","Menambahkan akun","اکاؤنٹ کا اضافہ","ఖాతా జోడించండి","खाते जोडा","கணக்கு சேர்க்க","ખાતું ઉમેરો","Додати обліковий запис","Magdagdag ng account","Tambah akaun","Adaugă cont","Fiók hozzáadása","Προσθήκη λογαριασμού","Lägg till konto","Tilføj konto","Legg til konto","Lisää tili","הוסף חשבון","اضافه کردن حساب","അക്കൗണ്ട് ചേർക്കുക"
"add-category","Add Category","ajouter une catégorie","añadir categoría","添加类别","श्रेणी जोड़ना","إضافة فئة","Adicionar categoria","Добавить категорию","追加カテゴリ","Kategorie hinzufügen","카테고리 추가","Kategori ekle","Aggiungi categoria","thêm thể loại","Dodaj kategorię","categorie toevoegen","เพิ่มหมวดหมู่","Přidat kategorii","বিভাগ যোগ করুন","Tambahkan kategori","زمرہ شامل کریں","వర్గాన్ని జోడించండి","श्रेणी जोडा","வகையைச் சேர்க்கவும்","વર્ગ ઉમેરો","Додайте категорію","Magdagdag ng kategorya","Tambah kategori","Adăugați categoria","Kategória hozzáadása","Προσθέστε κατηγορία","Lägg till Kategori","Tilføj kategori","Legg til kategori","Lisää luokka","הוסף קטגוריה","دسته را اضافه کنید","വിഭാഗം ചേർക്കുക"
"add-title","Add Title","Ajouter un titre","Añadir título","添加标题","शीर्षक जोडें","أضف عنوانا","Adicione o título","Добавить заголовок","表題を加える","Titel hinzufügen","제목 추가","Başlık ekle","Aggiungi titolo","Thêm tiêu đề","Dodaj tytuł","Titel toevoegen","เพิ่มหัวข้อ","Přidat titulek","শিরোনাম যোগ করুন","Tambahkan judul","عنوان شامل کریں","శీర్షిక జోడించండి","शीर्षक द्या","தலைப்பை சேர்க்கவும்","શીર્ષક ઉમેરો","Додайте заголовок","Magdagdag ng pamagat","Tambah tajuk","Adauga titlu","Adj címet","Προσθέστε τίτλο","Lägga till titel","Tilføj titel","Legg til tittel","Lisää otsikko","הוסף כותרת","عنوان اضافه کن","തലക്കെട്ട് ചേര്ക്കുക"
"add-budget","Add Budget","Ajouter un budget","Agregar presupuesto","添加预算","बजट जोड़ें","أضف الميزانية","Adicione orçamento","Добавить бюджет","予算を追加します","Budget hinzufügen","예산 추가","Bütçe ekle","Aggiungi budget","Thêm ngân sách","Dodaj budżet","Budget toevoegen","เพิ่มงบประมาณ","Přidejte rozpočet","বাজেট যুক্ত করুন","Tambahkan anggaran","بجٹ شامل کریں","బడ్జెట్‌ను జోడించండి","अर्थसंकल्प जोडा","பட்ஜெட்டைச் சேர்க்கவும்","બજેટ ઉમેરવું","Додайте бюджет","Magdagdag ng badyet","Tambah belanjawan","Adăugați bugetul","Adjon hozzá költségvetést","Προσθέστε προϋπολογισμό","Lägga till budget","Tilføj budget","Legg til budsjett","Lisätä budjettia","הוסף תקציב","بودجه اضافه کنید","ബജറ്റ് ചേർക്കുക"
"title-placeholder","Title","Titre","Título","标题","शीर्षक","عنوان","Título","Заголовок","タイトル","Titel","제목","Başlık","Titolo","Tiêu đề","Tytuł","Titel","ชื่อ","Titul","শিরোনাম","Judul","عنوان","శీర్షిక","शीर्षक","தலைப்பு","હક","Титул","Pamagat","Tajuk","Titlu","Cím","Τίτλος","Titel","Titel","Tittel","Otsikko","כותרת","عنوان","തലക്കെട്ട്"
"name-placeholder","Name","Nom","Nombre","姓名","नाम","اسم","Nome","Имя","名前","Name","이름","İsim","Nome","Tên","Nazwa","Naam","ชื่อ","název","নাম","Nama","نام","పేరు","नाव","பெயர்","નામ","Назва","Pangalan","Nama","Nume","Név","Ονομα","namn","Navn","Navn","Nimi","שֵׁם","نام","പേര്"
"enter-name","Enter Name","Entrez le nom","Ingrese su nombre","输入名字","नाम दर्ज करें","أدخل الاسم","Insira o nome","Введите имя","名前を入力","Name eingeben","이름을 입력하시오","İsim giriniz","Inserisci il nome","Nhập tên","Wprowadź imię","Voer naam in","ใส่ชื่อ","Napište jméno","নাম লিখুন","Masukkan nama","نام درج کریں","పేరు నమోదు చేయండి","नाव प्रविष्ट करा","பெயரை உள்ளிடுக","નામ દાખલ કરવું","Введіть назву","Ilagay ang pangalan","Masukkan nama","Introdu numele","Írja be a nevét","Εισαγάγομαι","Skriv namn","Indtast navn","Skriv inn navn","Antaa nimi","הכנס שם","نام را وارد کنید","പേര് നൽകുക"
"nickname-placeholder","Nickname","Surnom","Apodo","昵称","उपनाम","كنية","Apelido","Прозвище","ニックネーム","Spitzname","별명","Takma ad","Nickname","Tên nick","Przezwisko","Bijnaam","ชื่อเล่น","Přezdívka","ডাকনাম","Nama panggilan","عرفی نام","మారుపేరు","टोपणनाव","புனைப்பெயர்","ઉપનામ","Прізвисько","Palayaw","Nama samaran","Poreclă","Becenév","Παρατσούκλι","Smeknamn","Kælenavn","Kallenavn","Nimimerkki","כינוי","نام مستعار","വിളിപ്പേര്"
"notes-placeholder","Notes","Remarques","Notas","笔记","टिप्पणियाँ","ملحوظات","Notas","Примечания","ノート","Anmerkungen","노트","Notalar","Appunti","Ghi chú","Notatki","Aantekeningen","หมายเหตุ","Poznámky","মন্তব্য","Catatan","نوٹ","గమనికలు","नोट्स","குறிப்புகள்","નોંધ","Нотатки","Mga Tala","Nota","Note","Jegyzet","Σημειώσεις","Anteckningar","Noter","Merknader","Muistiinpanot","הערות","یادداشت","കുറിപ്പുകൾ"
"view-more","View More","Voir plus","Ver más","查看更多","और देखें","عرض المزيد","Veja mais","Просмотреть больше","もっと見る","Mehr sehen","더보기","Daha fazla göster","Mostra di più","Xem thêm","Zobacz więcej","Bekijk meer","ดูเพิ่มเติม","Ukázat více","আরো দেখুন","Lihat lebih banyak","مزید دیکھیں","మరిన్ని చూడండి","अधिक प i हा","மேலும் பார்க்க","વધુ જોવો","Дивитись більше","Tingnan pa","Lihat lebih lanjut","Vezi mai mult","Mutass többet","Δείτε περισσότερα","Visa mer","Se mere","Se mer","Katso lisää","ראה עוד","بیشتر ببینید","കൂടുതൽ കാണു"
"view-all-transactions","View All Transactions","Afficher toutes les transactions","Ver todas las transacciones","查看所有交易","सभी लेनदेन देखें","عرض جميع المعاملات","Veja todas as transações","Просмотреть все транзакции","すべてのトランザクションを表示します","Alle Transaktionen anzeigen","모든 트랜잭션을보십시오","Tüm işlemleri görüntüle","Mostra tutte le transazioni","Xem tất cả các giao dịch","Zobacz wszystkie transakcje","Bekijk alle transacties","ดูธุรกรรมทั้งหมด","Zobrazit všechny transakce","সমস্ত লেনদেন দেখুন","Lihat semua transaksi","تمام لین دین دیکھیں","అన్ని లావాదేవీలను చూడండి","सर्व व्यवहार पहा","அனைத்து பரிவர்த்தனைகளையும் காண்க","બધા વ્યવહાર જુઓ","Переглянути всі транзакції","Tingnan ang lahat ng mga transaksyon","Lihat semua urus niaga","Vizualizați toate tranzacțiile","Az összes tranzakció megtekintése","Προβολή όλων των συναλλαγών","Visa alla transaktioner","Se alle transaktioner","Se alle transaksjoner","Katso kaikki tapahtumat","צפה בכל העסקאות","مشاهده همه معاملات","എല്ലാ ഇടപാടുകളും കാണുക"
"expense","Expense","Frais","Gastos","费用","व्यय","مصروف","Despesa","Расход","費用","Kosten","비용","Masraf","Spesa","Chi phí","Koszt","Kosten","ค่าใช้จ่าย","Výdaje","ব্যয়","Pengeluaran","خرچہ","ఖర్చు","खर्च","செலவு","ખર્ચ","Витрата","Gastos","Perbelanjaan","Cheltuieli","Költség","Δαπάνη","Bekostnad","Bekostning","Kostnader","Kulut","הוֹצָאָה","هزینه","ചെലവ്"
"income","Income","Revenu","Ingreso","收入","आय","دخل","Renda","Доход","所得","Einkommen","소득","Gelir","Entrata","Thu nhập","Dochód","Inkomen","รายได้","Příjem","আয়","Penghasilan","آمدنی","ఆదాయం","उत्पन्न","வருமானம்","આવક","Дохід","Kita","Pendapatan","Sursa de venit","Jövedelem","Εισόδημα","Inkomst","Indkomst","Inntekt","Tulo","הַכנָסָה","درآمد","വരുമാനം"
"notifications-disabled","Notifications Disabled","Notifications désactivées","Notificaciones discapacitadas","禁用通知","सूचनाएं अक्षम हैं","الإخطارات المعوقة","Notificações desativadas","Уведомления отключены","通知が無効になっています","Benachrichtigungen deaktiviert","알림이 비활성화되었습니다","Bildirimler devre dışı","Notifiche disabilitate","Thông báo bị vô hiệu hóa","Powiadomienia wyłączone","Meldingen uitgeschakeld","การแจ้งเตือนปิดใช้งาน","Oznámení zakázána","বিজ্ঞপ্তি অক্ষম","Pemberitahuan dinonaktifkan","اطلاعات غیر فعال","నోటిఫికేషన్‌లు నిలిపివేయబడ్డాయి","सूचना अक्षम","அறிவிப்புகள் முடக்கப்பட்டன","સૂચનાઓ અક્ષમ","Повідомлення про вимкнення","Hindi pinagana ang mga abiso","Pemberitahuan dilumpuhkan","Notificări dezactivate","Értesítések letiltva","Οι ειδοποιήσεις απενεργοποιούνται","Meddelanden inaktiverade","Underretninger deaktiveret","Varsler deaktivert","Ilmoitukset on poistettu käytöstä","התראות מושבתות","اعلان ها غیرفعال هستند","അറിയിപ്പുകൾ അപ്രാപ്തമാക്കി"
"notifications-disabled-description","Tap here to enable notifications in the phone's settings page","Appuyez ici pour activer les notifications sur la page des paramètres du téléphone","Toque aquí para habilitar notificaciones en la página de configuración del teléfono","点击此处以在手机设置页面中启用通知","फोन के सेटिंग पेज में सूचनाओं को सक्षम करने के लिए यहां टैप करें","اضغط هنا لتمكين الإخطارات في صفحة إعدادات الهاتف","Toque aqui para ativar notificações na página de configurações do telefone","Нажмите здесь, чтобы включить уведомления на странице настроек телефона","ここをタップして、電話の設定ページで通知を有効にします","Tippen Sie hier, um Benachrichtigungen auf der Seite der Einstellungen des Telefons zu aktivieren","전화 설정 페이지에서 알림을 활성화하려면 여기를 누릅니다.","Telefonun Ayarları sayfasındaki bildirimleri etkinleştirmek için buraya dokunun","Tocca qui per abilitare le notifiche nella pagina delle impostazioni del telefono","Nhấn vào đây để bật thông báo trong trang Cài đặt điện thoại","Stuknij tutaj, aby włączyć powiadomienia na stronie Ustawienia telefonu","Tik hier om meldingen in te schakelen op de pagina Instellingen van de telefoon","แตะที่นี่เพื่อเปิดใช้งานการแจ้งเตือนในหน้าการตั้งค่าของโทรศัพท์","Klepnutím zde povolíte oznámení na stránce Nastavení telefonu","ফোনের সেটিংস পৃষ্ঠায় বিজ্ঞপ্তিগুলি সক্ষম করতে এখানে আলতো চাপুন","Ketuk di sini untuk mengaktifkan pemberitahuan di halaman Pengaturan Telepon","فون کے ترتیبات کے صفحے میں اطلاعات کو فعال کرنے کے لئے یہاں ٹیپ کریں","ఫోన్ సెట్టింగుల పేజీలో నోటిఫికేషన్‌లను ప్రారంభించడానికి ఇక్కడ నొక్కండి","फोनच्या सेटिंग्ज पृष्ठावरील सूचना सक्षम करण्यासाठी येथे टॅप करा","தொலைபேசியின் அமைப்புகள் பக்கத்தில் அறிவிப்புகளை இயக்க இங்கே தட்டவும்","ફોનના સેટિંગ્સ પૃષ્ઠમાં સૂચનાઓ સક્ષમ કરવા માટે અહીં ટેપ કરો","Натисніть тут, щоб увімкнути сповіщення на сторінці налаштувань телефону","Tapikin dito upang paganahin ang mga abiso sa pahina ng Mga Setting ng Telepono","Ketik di sini untuk membolehkan pemberitahuan di halaman Tetapan Telefon","Atingeți aici pentru a activa notificările din pagina de setări a telefonului","Érintse meg itt az értesítések engedélyezéséhez a telefon beállításainak oldalán","Πατήστε εδώ για να ενεργοποιήσετε τις ειδοποιήσεις στη σελίδα ρυθμίσεων του τηλεφώνου","Tryck här för att aktivera aviseringar på sidan av telefonens inställningar","Tryk her for at aktivere meddelelser på telefonens indstillinger","Trykk her for å aktivere varsler i telefonens innstillingsside","Napauta TÄSTÄ ottaaksesi käyttöön ilmoitukset puhelimen asetussivulla","הקש כאן כדי לאפשר התראות בדף ההגדרות של הטלפון","برای فعال کردن اعلان ها در صفحه تنظیمات تلفن در اینجا ضربه بزنید","ഫോണിന്റെ ക്രമീകരണ പേജിലെ അറിയിപ്പുകൾ പ്രാപ്തമാക്കുന്നതിന് ഇവിടെ ടാപ്പുചെയ്യുക"
"greetings-general-1","Hello","Bonjour","Hola","你好","नमस्ते","مرحبًا","Olá","Привет","こんにちは","Hallo","안녕하세요","Merhaba","Ciao","Xin chào","Cześć","Hallo","สวัสดี","Ahoj","হ্যালো","Halo","ہیلو","హలో","नमस्कार","வணக்கம்","નમસ્તે","Привіт","Kamusta","Helo","Buna ziua","Helló","Γειά σου","Hallå","Hej","Hallo","Hei","שלום","سلام","ഹലോ"
"greetings-general-2","Hi there","Bonjour à tous","Hola","你好呀","नमस्ते","أهلاً","Olá","Всем привет","やあ","Hi","안녕하세요","Merhaba","Ciao","Chào bạn","Cześć","Hoi","สวัสดี","Ahoj","হাই আছে","Hai, yang di sana","ہیلو وہاں","హాయ్","नमस्कार","ஹாய்","હાય ત્યાં","Привіт","Kumusta","Hai sana","Bună","Szia","Γεια σου","Hallå där","Hej","Hei der","Hei siellä","שלום שם","سلام","ഹേയ്, അവിടെയുണ്ടോ"
"greetings-general-3","Hi","Salut","Hola","你好","नमस्ते","أهلاً","Oi","Привет","やあ","Hallo","안녕","MERHABA","Ciao","CHÀO","Cześć","Hoi","สวัสดี","Ahoj","ওহে","Hai","ہائے","హాయ్","हाय","வணக்கம்","એક મહાન","Привіт","Hi","Hai","Bună","Szia","γεια","Hej","Hej","Hei","Hei","היי","سلام","ധികം"
"greetings-general-4","How are you","Comment allez-vous","Cómo estás","你好吗","आप कैसे हैं","كيف حالك","Como vai","Как вы","元気ですか","Wie geht es dir","어떻게 지내세요","Nasılsın","Come stai","Bạn có khỏe không","Jak się masz","Hoe is het","คุณเป็นอย่างไร","Jak se máte","আপনি কেমন আছেন","Apa kabarmu","آپ کیسے ہو","మీరు ఎలా ఉన్నారు","तू कसा आहेस","எப்படி இருக்கிறீர்கள்","તમે કેમ છો","Як справи","Kamusta ka","Apa khabar","Ce mai faci","Hogy vagy","Πώς είσαι","Hur mår du","Hvordan har du det","Hvordan har du det","Mitä kuuluu","מה שלומך","چطور هستید","സുഖമാണോ"
"greetings-general-5","What's up","Quoi de neuf","Qué pasa","这是怎么回事","क्या चल रहा है","ما أخبارك","E aí","Как дела","どうしたの","Was geht","무슨 일이야","Naber","Come stai","Có chuyện gì vậy","Co słychać","Wat is er","ว่าไง","Co se děje","কি খবর","Ada apa","کیا چل رہا ہے","ఏమిటి సంగతులు","काय चालले आहे","என்ன விஷயம்","શું છે","Як справи","Anong meron","Apa khabar","Care-i treaba","Mi a helyzet","Ποια είναι τα νέα σου","Vad händer","Hvad så","Hva skjer","Miten menee","מה קורה","چه خبر","എന്തുണ്ട് വിശേഷം"
"greetings-general-6","Hello there","Bonjour","Hola","你好呀","नमस्ते","أهلاً بك","Olá","Привет","こんにちは","Hallo","안녕","Selamlar","Ciao","xin chào","Witam","Hallo daar","สวัสดี","Ahoj","হ্যালো","Halo","سنو ذرا","ఉన్నారా","नमस्कार","வணக்கம்","ત્યાં","Привіт","Hello there","apa khabar di sana","Salutare","Szia","Γειά σου","Hej där","Hej med dig","Hei der","Hei siellä","שלום לך","سلام","നീ അവിടെയുണ്ടോ"
"greetings-general-7","Hope all is well","J'espère que tout va bien","Espero que todo este bien","希望一切安好","उम्मीद है कि सबकुछ ठीक होगा","آمل ان يكون الجميع بخير","Espero que esteja tudo bem","Надеюсь все хорошо","すべてが順調であることを願っています","Ich hoffe, es ist alles in Ordnung","모든 것이 잘되기를 바랍니다","Umarım her şey iyidir","Spero sia tutto a posto","Hy vọng tất cả đều tốt","Mam nadzieję, że wszystko w porządku","Hoop dat alles goed gaat","หวังว่าทุกอย่างจะดี","Doufám, že je vše v pořádku","আশা করি সব ঠিক আছে","Berharap semuanya baik-baik","سب کچھ ٹھیک ہے امید ہے","అంతా బాగుండాలని ఆశిస్తున్నా","आशा आहे सर्व काही ठीक आहे","அனைத்து நன்றாக இருக்கும் என்று நினைக்கிறேன்","આશા રાખું છું બધું સારું છે","Сподіваюся, все добре","Sana maayos ang lahat","Harap semuanya berjalan dengan lancar","Sper ca totul e bine","Remélem, minden rendben","Ελπίζω όλα είναι καλά","Hoppas att allt är bra","Håber alt er godt","Håper alt er bra","Toivottavasti kaikki on hyvin","מקווה שהכל טוב","امیدوارم همه چیز خوب باشد","എല്ലാം നന്നായിരിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു"
"greetings-morning-1","Good morning","Bonjour","Buen día","早上好","शुभ प्रभात","صباح الخير","Bom dia","Доброе утро","おはよう","Guten Morgen","좋은 아침이에요","Günaydın","Buongiorno","Chào buổi sáng","Dzień dobry","Goedemorgen","สวัสดีตอนเช้า","Dobré ráno","সুপ্রভাত","Selamat pagi","صبح بخیر","శుభోదయం","शुभ प्रभात","காலை வணக்கம்","સુપ્રભાત","Добрий ранок","Magandang umaga","Selamat Pagi","Buna dimineata","Jó reggelt kívánok","Καλημέρα","God morgon","God morgen","God morgen","Hyvää huomenta","בוקר טוב","صبح بخیر","സുപ്രഭാതം"
"greetings-morning-2","Good day","Bonne journée","Buen día","再会","आपका दिन शुभ हो","يوم جيد","Bom dia","Добрый день","良い一日","Guten Tag","안녕하세요","İyi günler","Buona giornata","ngày tốt","Dobry dzień","Goededag","ขอให้เป็นวันที่ดี","Dobrý den","শুভ দিন","Selamat tinggal","اچھا دن","మంచి రోజు","शुभ दिवस","நல்ல நாள்","અનેક દિવસ","Хороший день","Magandang araw","Selamat hari","O zi buna","Jó nap","Καλή μέρα","God dag","God dag","God dag","Hyvää päivää","יום טוב","روز خوب","ശുഭദിനം"
"greetings-afternoon-1","Good afternoon","Bon après-midi","Buenas tardes","下午好","नमस्कार","مساء الخير","Boa tarde","Добрый день","こんにちは","Guten Tag","좋은 오후에요","Tünaydın","Buon pomeriggio","Chào buổi chiều","Dzień dobry","Goedemiddag","สวัสดีตอนบ่าย","Dobré odpoledne","শুভ অপরাহ্ন","Selamat siang","صبح بخیر","శుభ మద్యాహ్నం","शुभ दुपार","மதிய வணக்கம்","શુભ બપોર","Добрий день","Magandang hapon","Selamat petang","Bună ziua","Jó napot","Καλό απόγευμα","God eftermiddag","God eftermiddag","God ettermiddag","Hyvää iltapäivää","אחר הצהריים טובים","عصر بخیر","ഗുഡ് ആഫ്റ്റർനൂൺ"
